Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
Opp (octphenylporphyrin),L2X2,"[N-]1C2C(C3C=CC=CC=3)C3C=CC(C(C4C=CC=CC=4)=C4[N-]C(C(C5C=CC=CC=5)=C4C4C=CC=CC=4)=C(C4C=CC=CC=4)C4=NC(C=C4)=C(C4C=CC=CC=4)C1=C(C1C=CC=CC=1)C=2C1C=CC=CC=1)=N3 |c:21,t:41,55|",-2,,242
Se (seleno; ⭀Se),LX2,[Se-2],-2,,243
"NO (nitrosyl, linear)",LXZ,N#O,0,,244
(O)₂ (dioxo C₂ᵥ X₄L₂ Ⓢ),L2X4,[O-2].[O-2],-4,,245
SO₄ (sulphato-κ²O),X2,S(=O)([O-])([O-])=O,-2,,246
O=CMe(OH) (ethanoic acid-κO),L,OC(C)=O,0,acetic acid,247
En (ethylenediamine),L2,C(N)CN,0,,248
Tren (tris(2-aminoethyl)amine-κ⁴N),L4,N(CCN)(CCN)CCN,0,,249
C₈H₁₆O₅ (tetraethylene glycol-κ⁵O),L5,OCCOCCOCCOCCO,0,,250
=CHBuᵗ (t-butylmethylidene),X2,[CH-2]C(C)(C)C,-2,,251
O₂PPh₂ (diphenylphosphinate-κO),X,C1(C=CC=CC=1)P(C1C=CC=CC=1)([O-])=O,-1,,252
NCNCN (dicyanamido⊖),L,N#C[N-]C#N,0,,253
=NSiMe₃ (trimethylsilylimino),X2,[N-2][Si](C)(C)C,-2,,254
=NXy (xylylimino),X2,C1(C)C=CC=C(C)C=1[N-2],-2,,255
S₂CPh (dithiobenzoato-κ²S),LX,C1C=CC=CC=1C([S-])=S,-1,,256
C₅H₄Ph (η⁵-phenylcyclopentadienyl),L2X,[CH-]1C(C2C=CC=CC=2)=CC=C1,-1,,257
"(CO)₄ (tetracarbonyl, (C≡O)₄ octahedral cis Ⓢ)",L4Z3,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+],3,,258
(O)₂ (dioxo-cis X₄L Ⓢ),X4L,[O-2].[O-2],-4,,259
"(NO)₂ (dinitrosyl, (N≡O)₂ cis-octahedral Ⓢ)",L2X2Z,[O+]#N.[O+]#N,-1,,260
⭀NMe (⭀NMe methylimino),LX2,[N-2]C,-2,,261
(S)₄ (tetrathio X₈L Ⓢ),LX8,[S-2].[S-2].[S-2].[S-2],-8,,262
Me₃SiOC≡COSiMe₃ (bistrimethylsiloxyethyne),L,C[Si](OC#CO[Si](C)(C)C)(C)C,0,,263
MeC≡CMe (butyne),L,CC#CC,0,,264
"CS₂ (carbon disulfide-κC,κS)",L,C(=S)=S,0,,265
(C₆F₅)C≡C(C₆F₅) (bis-pentafluorophenyl-ethyne),L,C1(F)C(F)=C(F)C(C#CC2C(F)=C(F)C(F)=C(F)C=2F)=C(F)C=1F,0,,266
C₆H₄ (benzyne),L,C1C=CC#CC=1,0,,267
(MeO₂C)C≡C(CO₂Me) (dimethylacetylenedicarboxylate),L,C(C(OC)=O)#CC(=O)OC,0,,268
Cot (η⁴-cyclooctatetraene),L2,"C1C=CC=CC=CC=1 |c:1,3,5,7|",0,,269
